feature,kind,subsystem,unit_code,group,target,nominal_rows,sample_rows,nonfinite,min,max,mean,std,sample_unique,sample_mode_fraction,unchanged_30s_fraction,constant_training_nominal,review_flag,physical_meaning
channel_1,telemetry,subsystem_1,physical_unit_1,1,NO,2819808,23495,0,0.09217216,0.43213323,0.13793581188773502,0.0018723896358553238,23,0.998638008086827,0.9995744288480498,False,variable,anonymized; no engineering interpretation inferred
channel_27,telemetry,subsystem_6,physical_unit_3,3,YES,2819808,23495,0,0.14716905,0.29689813,0.23194654913537224,0.04215820305905161,93,0.02477122792083422,0.8845134657805329,False,variable,anonymized; no engineering interpretation inferred
channel_28,telemetry,subsystem_6,physical_unit_3,3,YES,2819808,23495,0,0.07355645,0.23918964,0.1655469676898442,0.04376453849485551,102,0.019621195999148754,0.8845457382595558,False,variable,anonymized; no engineering interpretation inferred
channel_29,telemetry,subsystem_6,physical_unit_3,4,YES,2819808,23495,0,0.15237355,0.34858766,0.2512402989837149,0.043237673959156044,115,0.03851883379442435,0.8889603296757858,False,variable,anonymized; no engineering interpretation inferred
channel_3,telemetry,subsystem_1,physical_unit_1,1,NO,2819808,23495,0,0.0,0.9999145,0.12642979691952877,0.005181502760652589,321,0.98561396041711,0.9942675565832311,False,variable,anonymized; no engineering interpretation inferred
channel_30,telemetry,subsystem_6,physical_unit_3,4,YES,2819808,23495,0,0.033190213,0.2006484,0.10953664658805917,0.043922226902490945,97,0.046350287295169185,0.8892791533971217,False,variable,anonymized; no engineering interpretation inferred
channel_31,telemetry,subsystem_6,physical_unit_3,7,YES,2819808,23495,0,0.2177907,0.3795622,0.3002569043861675,0.04669786398744696,102,0.05524579697808044,0.8890128167845263,False,variable,anonymized; no engineering interpretation inferred
channel_32,telemetry,subsystem_6,physical_unit_3,6,YES,2819808,23495,0,0.63253826,0.85682064,0.7284844314128298,0.06476522883068195,119,0.05507554798893381,0.891052721172874,False,variable,anonymized; no engineering interpretation inferred
channel_33,telemetry,subsystem_6,physical_unit_3,6,YES,2819808,23495,0,0.6656364,0.88545996,0.7618700443150228,0.06520741473649537,120,0.041370504362630345,0.8857649996098931,False,variable,anonymized; no engineering interpretation inferred
channel_34,telemetry,subsystem_6,physical_unit_3,5,YES,2819808,23495,0,0.07110437,0.20323142,0.1450866419646547,0.03892116523362199,86,0.039029580761864226,0.8829870839155383,False,variable,anonymized; no engineering interpretation inferred
channel_35,telemetry,subsystem_6,physical_unit_3,5,YES,2819808,23495,0,0.09480583,0.25298345,0.18536963973728857,0.03904767619412707,97,0.024430729942540967,0.8822597118883301,False,variable,anonymized; no engineering interpretation inferred
channel_36,telemetry,subsystem_6,physical_unit_3,3,YES,2819808,23495,0,0.14716905,0.31405506,0.23595988073186935,0.044781226118926765,105,0.019834007235582037,0.883174689865023,False,variable,anonymized; no engineering interpretation inferred
channel_37,telemetry,subsystem_6,physical_unit_3,3,YES,2819808,23495,0,0.19707817,0.34524912,0.27674930001646453,0.042249031725277476,95,0.020685252181315172,0.8842173391873009,False,variable,anonymized; no engineering interpretation inferred
channel_38,telemetry,subsystem_6,physical_unit_3,4,YES,2819808,23495,0,0.033190213,0.2006484,0.10902129366125743,0.04401061386444592,98,0.043115556501383275,0.8855795215161681,False,variable,anonymized; no engineering interpretation inferred
channel_39,telemetry,subsystem_6,physical_unit_3,7,YES,2819808,23495,0,0.2177907,0.3795622,0.3028642550110717,0.047891281818470514,104,0.05524579697808044,0.8902618681155,False,variable,anonymized; no engineering interpretation inferred
channel_4,telemetry,subsystem_1,physical_unit_2,2,NO,2819808,23495,0,0.0,7.6256692e-06,5.406002075318603e-12,6.4190517547114034e-09,1,1.0,0.9999989360721201,False,sample mode >=99.9%,anonymized; no engineering interpretation inferred
channel_40,telemetry,subsystem_6,physical_unit_3,6,YES,2819808,23495,0,0.66931355,0.88545996,0.7653678822343128,0.0652684910839408,119,0.03779527559055118,0.8908835566399739,False,variable,anonymized; no engineering interpretation inferred
channel_41,telemetry,subsystem_5,physical_unit_4,8,YES,2819808,23495,0,0.8000207,0.82513577,0.8119101645403919,0.004982246287583922,31,0.08201745052138754,0.2052203394639222,False,variable,anonymized; no engineering interpretation inferred
channel_42,telemetry,subsystem_5,physical_unit_4,8,YES,2819808,23495,0,0.762246,0.8104421,0.785465871147967,0.006937767114049302,50,0.04107256863162375,0.09247767524665394,False,variable,anonymized; no engineering interpretation inferred
channel_43,telemetry,subsystem_5,physical_unit_4,8,YES,2819808,23495,0,0.7576563,0.7861426,0.7731438112031588,0.005002120480737191,32,0.05665035113854011,0.19692276592877359,False,variable,anonymized; no engineering interpretation inferred
channel_44,telemetry,subsystem_5,physical_unit_4,8,YES,2819808,23495,0,0.77635044,0.8164959,0.7980124770323331,0.0059228591824429236,48,0.04890402213236859,0.10254597941654195,False,variable,anonymized; no engineering interpretation inferred
channel_45,telemetry,subsystem_5,physical_unit_4,8,YES,2819808,23495,0,0.7990492,0.82957226,0.8141871137553883,0.0056334667397265345,33,0.05388380506490743,0.18657819515274457,False,variable,anonymized; no engineering interpretation inferred
channel_46,telemetry,subsystem_5,physical_unit_4,8,YES,2819808,23495,0,0.74418247,0.7931637,0.769422295090067,0.006927792199899379,50,0.043243243243243246,0.09856192414903502,False,variable,anonymized; no engineering interpretation inferred
channel_47,telemetry,subsystem_6,physical_unit_3,9,YES,2819808,23495,0,0.0017101392,0.0018670211,0.0017735110737390194,3.3808351120551625e-05,54,0.07520749095552245,0.6494698092731954,False,variable,anonymized; no engineering interpretation inferred
channel_48,telemetry,subsystem_6,physical_unit_3,9,YES,2819808,23495,0,0.001773405,0.0019075015,0.001831450567150504,3.1668084979982614e-05,51,0.0701425835284103,0.6613279947796605,False,variable,anonymized; no engineering interpretation inferred
channel_49,telemetry,subsystem_6,physical_unit_3,9,YES,2819808,23495,0,0.0017253294,0.0018670211,0.001785090515844473,3.2660046300461955e-05,53,0.06503511385401149,0.6623224127047175,False,variable,anonymized; no engineering interpretation inferred
channel_5,telemetry,subsystem_1,physical_unit_2,2,NO,2819808,23495,0,0.0,8.892268e-06,5.85782336953438e-12,6.975959418556972e-09,1,1.0,0.9999989360721201,False,sample mode >=99.9%,anonymized; no engineering interpretation inferred
channel_50,telemetry,subsystem_6,physical_unit_3,10,YES,2819808,23495,0,0.72041506,0.78526175,0.7459750448969782,0.014203097435742879,54,0.07499467971908917,0.8827948676119075,False,variable,anonymized; no engineering interpretation inferred
channel_51,telemetry,subsystem_6,physical_unit_3,10,YES,2819808,23495,0,0.74593025,0.80226904,0.7703192269303314,0.013303680915764567,50,0.0723132581400298,0.8864781859320363,False,variable,anonymized; no engineering interpretation inferred
channel_52,telemetry,subsystem_6,physical_unit_3,10,YES,2819808,23495,0,0.72573197,0.78526175,0.7508393219376163,0.01372211274653808,53,0.06575867205788466,0.8870988105286303,False,variable,anonymized; no engineering interpretation inferred
channel_53,telemetry,subsystem_3,physical_unit_5,11,NO,2819808,23495,0,0.0,1.0,0.830559889961607,0.1535132518514937,5,0.7952330283038944,0.646330158099683,False,variable,anonymized; no engineering interpretation inferred
channel_54,telemetry,subsystem_3,physical_unit_5,12,NO,2819808,23495,0,0.40008092,0.9000809,0.7715962764695009,0.08089534022046166,5,0.8476697169610555,0.7270258960045962,False,variable,anonymized; no engineering interpretation inferred
channel_55,telemetry,subsystem_3,physical_unit_5,11,NO,2819808,23495,0,0.0,0.714939,0.5311847296504743,0.11353494833725782,5,0.8458395403277293,0.7248721513331017,False,variable,anonymized; no engineering interpretation inferred
channel_56,telemetry,subsystem_3,physical_unit_5,12,NO,2819808,23495,0,0.40008092,0.9000809,0.8526207839029217,0.09513725616667526,5,0.6654181740795914,0.5397522466610397,False,variable,anonymized; no engineering interpretation inferred
channel_57,telemetry,subsystem_6,physical_unit_3,13,YES,2819808,23495,0,0.73807603,0.8186664,0.7721404284666917,0.019116327143738773,78,0.038008086826984464,0.655986012894806,False,variable,anonymized; no engineering interpretation inferred
channel_58,telemetry,subsystem_6,physical_unit_3,13,YES,2819808,23495,0,0.67152244,0.74540085,0.704390368879574,0.01919364971085973,79,0.03881676952543094,0.6506284267343798,False,variable,anonymized; no engineering interpretation inferred
channel_59,telemetry,subsystem_6,physical_unit_3,13,YES,2819808,23495,0,0.8406494,0.9227742,0.8738922956201778,0.018873307499489463,78,0.03630559693551819,0.6680162000751843,False,variable,anonymized; no engineering interpretation inferred
channel_6,telemetry,subsystem_1,physical_unit_2,2,NO,2819808,23495,0,0.0,7.6256692e-06,5.4086442764897465e-12,6.42218832015624e-09,1,1.0,0.9999989360721201,False,sample mode >=99.9%,anonymized; no engineering interpretation inferred
channel_60,telemetry,subsystem_6,physical_unit_3,13,YES,2819808,23495,0,0.6697652,0.74540085,0.7028894573308981,0.01899952930157793,76,0.04588210257501596,0.6468490002624355,False,variable,anonymized; no engineering interpretation inferred
channel_61,telemetry,subsystem_1,physical_unit_6,14,YES,2819808,23495,0,0.0015446896,0.9993675,0.5041614252429778,0.35008001926523075,344,0.003064481804639285,0.9998843865037202,False,variable,anonymized; no engineering interpretation inferred
channel_62,telemetry,subsystem_1,physical_unit_6,14,YES,2819808,23495,0,0.045637883,0.96829087,0.5159876203854217,0.32839074865469847,344,0.003064481804639285,0.9998843865037202,False,variable,anonymized; no engineering interpretation inferred
channel_63,telemetry,subsystem_1,physical_unit_6,14,YES,2819808,23495,0,0.307905,0.7078764,0.5117554030854958,0.14236972255822522,344,0.003064481804639285,0.9998843865037202,False,variable,anonymized; no engineering interpretation inferred
channel_64,telemetry,subsystem_6,physical_unit_3,15,YES,2819808,23495,0,0.96676075,0.9673879,0.9670743413271664,1.7872500194930547e-05,3,0.9970632049372207,0.9988715271620787,False,variable,anonymized; no engineering interpretation inferred
channel_65,telemetry,subsystem_6,physical_unit_3,15,YES,2819808,23495,0,0.9677015,0.96832865,0.9680135519413533,2.8340467116883852e-05,3,0.991572675037242,0.9971763354068106,False,variable,anonymized; no engineering interpretation inferred
channel_66,telemetry,subsystem_6,physical_unit_3,16,YES,2819808,23495,0,0.9916512,0.9938157,0.9925596310738862,0.0006002901023174616,8,0.19506277931474783,0.968692858206785,False,variable,anonymized; no engineering interpretation inferred
channel_67,telemetry,subsystem_1,physical_unit_5,17,NO,2819808,23495,0,0.99613094,0.9963886,0.9962666418578443,0.00012864971906220103,2,0.5273036816343903,0.9441905991332534,False,variable,anonymized; no engineering interpretation inferred
channel_68,telemetry,subsystem_1,physical_unit_5,17,NO,2819808,23495,0,0.709386,0.70964384,0.7093974482351297,5.311780230572639e-05,2,0.9538625239412641,0.9855639172405967,False,variable,anonymized; no engineering interpretation inferred
channel_69,telemetry,subsystem_1,physical_unit_5,17,NO,2819808,23495,0,0.21170676,0.21222207,0.2119656414647329,1.9034564808335956e-05,3,0.9942115343690147,0.9980544305503344,False,variable,anonymized; no engineering interpretation inferred
channel_7,telemetry,subsystem_1,physical_unit_2,2,NO,2819808,23495,0,0.0,9.737909e-06,6.307002462579013e-12,7.522680388004251e-09,1,1.0,0.9999989360721201,False,sample mode >=99.9%,anonymized; no engineering interpretation inferred
channel_70,telemetry,subsystem_3,physical_unit_4,18,YES,2819808,23495,0,0.7708433,0.7945323,0.7802961505245084,0.004554389289679578,48,0.07078101723771014,0.020157532254746893,False,variable,anonymized; no engineering interpretation inferred
channel_71,telemetry,subsystem_3,physical_unit_4,18,YES,2819808,23495,0,0.8045567,0.82596827,0.813428262279484,0.003966737434681748,44,0.052904873377314324,0.0022477249675501997,False,variable,anonymized; no engineering interpretation inferred
channel_72,telemetry,subsystem_3,physical_unit_4,18,YES,2819808,23495,0,0.81457645,0.83872277,0.8240794881585998,0.004407710633134772,47,0.05111725899127474,0.00448516529892827,False,variable,anonymized; no engineering interpretation inferred
channel_73,telemetry,subsystem_3,physical_unit_4,18,YES,2819808,23495,0,0.92847574,0.9539848,0.9380974992826505,0.004612670717459945,51,0.05758672057884656,0.006380730138239696,False,variable,anonymized; no engineering interpretation inferred
channel_74,telemetry,subsystem_3,physical_unit_4,18,YES,2819808,23495,0,0.9740336,0.99908996,0.9843028704594599,0.004543744963348954,51,0.06082145137263247,0.01865881251462901,False,variable,anonymized; no engineering interpretation inferred
channel_75,telemetry,subsystem_3,physical_unit_4,18,YES,2819808,23495,0,0.9025047,0.9234636,0.910117534335069,0.0030668586306988356,41,0.10580974675462865,0.03865143594799521,False,variable,anonymized; no engineering interpretation inferred
channel_76,telemetry,subsystem_3,physical_unit_4,18,YES,2819808,23495,0,0.96127445,0.98132324,0.9693384206175316,0.0027858569859421163,40,0.09270057459033837,0.03583521884996489,False,variable,anonymized; no engineering interpretation inferred
channel_8,telemetry,subsystem_1,physical_unit_2,2,NO,2819808,23495,0,0.0,0.0,0.0,0.0,1,1.0,1.0,True,constant in nominal training,anonymized; no engineering interpretation inferred
channel_9,telemetry,subsystem_1,physical_unit_2,2,NO,2819808,23495,0,0.0,0.0,0.0,0.0,1,1.0,1.0,True,constant in nominal training,anonymized; no engineering interpretation inferred
telecommand_244,telecommand,telecommand,not supplied,,not supplied,2819808,23495,0,0.0,0.0,0.0,0.0,1,1.0,1.0,True,constant in nominal training,anonymized; no engineering interpretation inferred
telecommand_350,telecommand,telecommand,not supplied,,not supplied,2819808,23495,0,0.0,0.0,0.0,0.0,1,1.0,1.0,True,constant in nominal training,anonymized; no engineering interpretation inferred
telecommand_351,telecommand,telecommand,not supplied,,not supplied,2819808,23495,0,0.0,1.0,3.5463407437669514e-07,0.0005955115016616962,1,1.0,0.9999996453573734,False,sample mode >=99.9%,anonymized; no engineering interpretation inferred
telecommand_352,telecommand,telecommand,not supplied,,not supplied,2819808,23495,0,0.0,0.0,0.0,0.0,1,1.0,1.0,True,constant in nominal training,anonymized; no engineering interpretation inferred
telecommand_353,telecommand,telecommand,not supplied,,not supplied,2819808,23495,0,0.0,0.0,0.0,0.0,1,1.0,1.0,True,constant in nominal training,anonymized; no engineering interpretation inferred
telecommand_354,telecommand,telecommand,not supplied,,not supplied,2819808,23495,0,0.0,0.0,0.0,0.0,1,1.0,1.0,True,constant in nominal training,anonymized; no engineering interpretation inferred
telecommand_36,telecommand,telecommand,not supplied,,not supplied,2819808,23495,0,0.0,1.0,1.7731703718834757e-06,0.0013316032546334168,1,1.0,0.9999964535737338,False,sample mode >=99.9%,anonymized; no engineering interpretation inferred
telecommand_376,telecommand,telecommand,not supplied,,not supplied,2819808,23495,0,0.0,0.0,0.0,0.0,1,1.0,1.0,True,constant in nominal training,anonymized; no engineering interpretation inferred
telecommand_38,telecommand,telecommand,not supplied,,not supplied,2819808,23495,0,0.0,1.0,1.7731703718834757e-06,0.0013316032546334168,1,1.0,0.9999968082163604,False,sample mode >=99.9%,anonymized; no engineering interpretation inferred
telecommand_39,telecommand,telecommand,not supplied,,not supplied,2819808,23495,0,0.0,1.0,3.5463407437669514e-07,0.0005955115016616962,1,1.0,0.9999992907147468,False,sample mode >=99.9%,anonymized; no engineering interpretation inferred
telecommand_40,telecommand,telecommand,not supplied,,not supplied,2819808,23495,0,0.0,1.0,3.5463407437669514e-07,0.0005955115016616962,1,1.0,0.9999992907147468,False,sample mode >=99.9%,anonymized; no engineering interpretation inferred
